issuerTradingSymbol
TRKN
WYPT
NWAC
WFII
FLE
REG
SPRT
CRWG
CLRX
VVTV
HSIC
BDRL
MATV
NVAX
SGMO
NSP
DISH
REPX
OPFI
ASTC
AEE
NTAP
MSM
RHE-A
rhe-a
SGRP
PCG
UAL
VGR
ZFOX
SUPN
EPM
CBKM
PURE
BILL
TAIT
SAM
UFI
CDNS
TTEK
CRDO
UNP
ONCR
UFCS
PRI
NHI
REGN
AVDL
NWFL
NHC
FDS
WMT
ANSS
UMBF
BJRI
NRG
TTEC
VRSN
CTHR
WTFC
UAMY
CSV
USEG
CARV
RPRX
HRT
AHH
RTX
NASD
VFC
CYH
MXC
ATSG
SEAC
ATI
PAG
IRM
DXPE
UVV
VCYT
ZLAB
COHN
BDSX
UNFI
NUS
SDCH
KSS
PLUS
UVSP
STLD
NMGX
SLP
HPE
EGHT
FORR
AMOT
ROK
CLH
CFFS
HUM
EFSC
CMT
VMI
CDRE
VSEC
DVAX
EEFT
UBP
PPBI
ACI
SOFO
SRT
BSY
SLM
CRVS
MMS
BCDA;BCDAW
CENX
CIEN
SSNC
AMT
GTLB
AMCR
FAT
VSAT
MHH
KFRC
PBIO
AJX
UFPT
COP
WYY
VLO
CWT
ARE
HPK
ISRG
FNCB
FIX
MTD
PCTY
GABC
AME
RWAY
SMBK
HSKA
PGC
OSIS
AEHR
NTCT
CPRI
IDN
LEG
YUM
CTGO
LSAK
PTN
PSMT
BGNE
MBWM
AFG
BANF
PDM
EVTN
ASB
PRPO
SCD
IGI
NVDA
OSPN
CBL
HFWA
RKLB
TSBK
RNWK
EMAN
AMKR
DOUG
FDP
ED
IESC
MAR
BMRN
ELME
H
FFIV
AVa
GTIM
"LEN, LEN.B"
CNXN
WHF
MRCY
GCEH
CIX
NYSE: SCS
WDFC
RDW
CCI
GTY
CNK
PCF
TWLO
ROIC
CRAI
MCHX
SMMT
KIRK
VRNA
IHT
TERN
THRD
EME
HHC
MTEX
WSR
TPL
HZO
ESOA
AWR
HCKT
CMG
IDA
CTSH
STIM
NXPL
LBTY
GNTY
SEIC
MCO
HSTM
SGEN
GBL
CRI
CLAR
EPD
BXMT
CRWD
RIBT
OSW
CYTK
FCFS
EBAY
BTU
TOF
WEYS
WY
MARA
SKX
HSII
ATDS
CSCO
BCOR
OABI
AXON
LII
KTOS
PSIX
RGCO
SCWX
BB
SPOK
STR
LFUS
CXW
SARA
RRBI
FRZA
ALIT
CNC
WLY
KFS
ACLS
PEAK
TPHS
FICO
TOL
BKNG
WSFS
CXDO
ONDS
UGRO
WGO
TCBI
NOVT
WKHS
SCI
NLS
EXTR
MTRN
ACCD
CRDA CRDB
"SQFT,SQFTP"
AZO
BDX
LTRPA
NRGV
DG
UTHR
TRSSF
AMEH
ZD
CYRN
RGP
FLWS
VTSI
DCOM
WTTR
AKAM
PRFT
LEE
ARLP
CWBHF
DKS
SFST
LIDR
YORW
A
CHTR
ARGO
TJX
SWBI
DXCM
PEBK
MCS
ZION
TDY
BGCP
UPLD
PFSW
STAR
RE
MKL
LXFR
SAFE
ON
FDBC
CHPT
SRZN
CTRE
MET
AMRX
EW
NRDY
ZIVO
EQIX
SEI C
PACW
MEI
VRME
MDLZ
WWW
ICD
LHAA
FSTR
DDD
ATLC
SONN
ORCL
AVGO
TREE
QLYS
MODG
CRM
NYSE:EVC
BRKR
ONTF
CPRX
VC
ILMN
DYNR
BIOL
TROW
TH
BBW
ITGR
FNRN
PI
QUOT
PLAG
OSUR
MODN
LSXMA
NDAQ
QRTEA
MAXR
GRMN
SFT
RCEL
FLR
LOTZ
GPN
MDRX
NEWT
AMHG
VMW
BLNK
ENSG
OPEN
BECN
MGNX
PFG
GRRB
PKTX
ARI
HOPE
FLO
ZBRA
HRTX
CDZI
CNP
FRBK
ATLO
SPWH
UPH
PKOH
ARKR
GALT
TTGT
CVGW
AAWW
"UHAL,UHALB"
CHUC
RDI
CRK
ZBH
RH
UBFO
JACK
PRU
PFHO
CBRE
HQI
REED
ABC
LVLU
PED
NXST
R
BBAI
AMN
USM
ABG
HNNA
PODD
[AXR
ASPN
LRN
BGFV
CME
MDGL
AAOI
SIEB
SCOR
RQI
RCMT
PLUR
CCOI
LMAT
CABO
HALO
NASDAQ:ALR
SVRA
CB
LAB
ESQ
WEA
NRIM
MLM
ATXS
XPO
VRNT
CMCSA
OSG
RIOT
GMS
NCMI
CPSI
IRT
HTGM
BANC
KMX
RLGT
JBSS
RRGB
DMLP
SUNW
NG
NANX
NIC
OGEN
CTSO
ASLE
WYNN
FLXS
MMLP
B
ARES
SNX
ENTA
GO
