issuerTradingSymbol
GOOG
HY
CRM
FB
SNX
"ISCA, ISCB"
OPK
NFLX
LEG
PLT
ZI
ZEN
CTSH
CRL
W
IBM
KKD
APA
QCOM
UTHR
LBTY
SMG
CVNA
BSX
AEIS
MMM
IRDM
ANET
ZION
AIG
REGN
ABT
AMZN
MORN
ILMN
INTC
VRTX
IT
PEGA
NOW
BLL
SON
UMBF
MAIN
SAM
VEEV
HI
PG
LNKD
UPS
DLB
OSK
GWRE
T
BMY
VZ
EL
MCHP
PFE
ENDV
EBAY
AZO
ACN
RNG
SIVB
EA
MTB
ONB
INTU
"CBS, CBS.A"
GSHD
TSLA
ISRG
SMTC
SFNC
DDOG
ALKS
CLMT
GM
EME
MXL
HON
UFS
ICUI
WDAY
CMCSA
GLW
ARW
PNW
EQIX
CL
MKC
TEX
ENS
SWK
ESIC
H
FDP
CIEN
NTGR
TEL
ADBE
EW
HCA
GWW
ALTR
CSC
SWX
MFRM
CHD
COL
CR
PNC
PPG
SCHN
FFIV
WFC
MU
ANDE
YELP
TUP
CLMS
MRNA
MGM
NC
PCAR
COF
PRGO
CNMD
GILD
GHDX
IDXX
F
TDG
CORE
JBHT
FTNT
CACC
JWN
ZM
FNGN
AWR
PLXS
RF
TPL
IFF
IBKR
DAN
NKE
PRU
ADI
ROK
SGMS
IPAR
GRUB
SGEN
DXCM
KR
CRVL
XRAY
MPWR
MAN
FICO
ATHN
MSM
HPQ
FBP
SNFCA
MTD
SCL
BAC
PRGS
NATI
ZNGA
BLK
YUM
DIS
FUL
ACM
ABM
NSC
WMT
COLM
UNH
BMRN
N
POWI
PFG
VSAT
CCD
PIR
NUAN
RSG
SO
COUP
EXC
KEY
TTD
VAR
OKTA
CBSH
ECL
NSIT
FIS
TXN
UFPI
ETN
ALGN
SNI
GPS
TRMB
ADM
AMD
SYNA
CMCO
SCHW
FSLR
PLD
ADP
PH
VPRT
SPLK
TRV
INCY
MMS
SYBT
MGRC
CARG
SWKS
DVA
L
SAFM
DHR
BOKF
ERIE
UNFI
HXL
MDAS
TYPE
EXLS
RP
SNPS
LFUS
ALSN
CRWD
CINF
BCO
TTEK
CZNC
AVY
OSG
OGE
EOG
UEIC
AOS
AVX
TROW
WMB
NWS
IBKC
PPL
CLX
CAT
ROKU
USB
Z
ASB
SNHY
CCMP
VG
ETR
WWW
GIS
MBFI
SSP
ORCL
GD
SYY
DD
SQ
STI
NET
SYMC
AKAM
BR
WDC
AN
HBB
NTRS
OMCL
JDAS
MDB
ED
SBAC
CTXS
RJF
HBAN
MC
WIFI
STX
NFG
ICE
DLTR
HUM
CI
NOC
TIPT
PCS
CB
DDS
MTX
TWLO
HLF
SYKE
JPM
ABCO
MFLX
SMAR
TW
CME
TEG
MRK
IR
BRC
KAI
NTAP
WCN
ETSY
AMTD
TREX
TNET
HRL
LII
KLIC
PGR
MRVL
SNCR
MET
IRM
CPHD
BKH
HPE
TSN
COO
DF
RMD
SHEN
IMAX
HRC
UA
TMK
PANW
SF
TER
TYL
RAX
SM
MUR
AMP
CUDA
MXIM
NEWR
SYK
WOR
FLR
AVGO
ASH
DATA
BCR
Z AND ZG
CDNS
ALLY
ALK
RLI
SFLY
CMA
KMB
QDEL
GE
DCI
JNPR
HMSY
LSCC
CAR
"VIA, VIAB"
BILL
TECD
FLDM
TEN
STMP
MAT
GWR
VRSK
TREE
NVDA
ENTG
AAPL
SRE
SNV
YEXT
PFPT
LQDT
PCTY
GT
CNBKA
WLK
PXD
TMO
BIIB
ANSS
CY
KWR
WAC
AMBA
DRI
TIF
AF
AEO
ELLI
HSY
SHW
PENN
ELVT
HVT
MAR
NTRA
JCI
LC
HAL
EQR
STZ
TDY
ALXN
VTR
PNR
BHI
ENV
ABAX
KLAC
ALV
SFIX
MYL
LMAT
JLL
SNA
MHO
FTI
STE
NXTM
ASBC
MNTA
EXPE
AIRI
K
MSFT
CIR
FE
CPIX
FFBC
MSTR
KNX
CHH
GDOT
USNA
SBSI
STJ
AYX
COST
TWTR
ARRS
AGN
RGCO
EXPO
UIS
LEVI
JBL
WFM
(NYSE:FBC)
LKFN
CRUS
TTC
LUV
AME
CELG
DIN
GRPN
AJG
IPGP
SHAK
PII
ANGI
MMC
NLSN
WCG
STLD
HOT
JWA/JWB
UNP
XLNX
MCO
M
CACI
WORK
COP
AMGN
DLR
AXP
FITB
PFSI
EV
QSR
TCBK
BLUE
BRY
KO
MA
IRBT
SPWR
AAP
BBY
ITW
BRT
CIT
DISCA
ABC
GBX
VVC
EMC
LLY
KAR
UTX
ADPT
CNC
MEG
VIAV
INFN
CHTR
RNST
amnb
TWC
JAZZ
IILG
CSCD
LH
SSNI
WEC
MCK
BBBY
CVLT
SRCL
C
WHR
VAC
TRUP
HOLX
AZZ
LNC
LOGM
GLF
CKH
FHN
UHS
HZO
DCOM
DUK
GLUU
APPN
FNKO
LIFE
QLYS
JNJ
PZZA
HZNP
ICFI
BDC
ASGN
AFL
PEG
AMSWA
BDX
WM
MKSI
OC
EXPI
FCN
SCHL
KODK
DGX
UFCS
WEN
DSW
SEIC
BBG
DW
VFC
ACCO
